period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-03,weekday,22,NS28,638,129,NS28,,,False,28.0,,,,,,,,,,,,,Marina South Pier
2022-03,weekend,24,DT10,4,46,DT10,,,False,,,,,,,,10.0,,,,,,Stevens
2022-03,weekday,24,DT10,20,81,DT10,,,False,,,,,,,,10.0,,,,,,Stevens
2022-03,weekend,10,EW16/NE3,3793,4994,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-03,weekday,10,EW16/NE3,15794,23328,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-03,weekday,9,CC14,6095,4549,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-03,weekend,9,CC14,2045,1054,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-03,weekend,14,EW27,13279,13217,EW27,,,False,,,,27.0,,,,,,,,,,Boon Lay
2022-03,weekday,14,EW27,25350,29984,EW27,,,False,,,,27.0,,,,,,,,,,Boon Lay
2022-03,weekend,24,NS27/CE2,0,35,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-03,weekday,24,NS27/CE2,11,75,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-03,weekend,18,DT27,2381,2042,DT27,,,False,,,,,,,,27.0,,,,,,Ubi
2022-03,weekday,18,DT27,23750,8797,DT27,,,False,,,,,,,,27.0,,,,,,Ubi
2022-03,weekday,24,NS8,421,2123,NS8,,,False,8.0,,,,,,,,,,,,,Marsiling
2022-03,weekend,24,NS8,170,805,NS8,,,False,8.0,,,,,,,,,,,,,Marsiling
2022-03,weekend,18,NS14,8366,10422,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-03,weekday,18,NS14,34219,70088,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-03,weekday,12,EW17,16749,16758,EW17,,,False,,,,17.0,,,,,,,,,,Tiong Bahru
2022-03,weekend,12,EW17,8265,7594,EW17,,,False,,,,17.0,,,,,,,,,,Tiong Bahru
2022-03,weekday,24,NE17/PTC,234,2155,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-03,weekend,24,NE17/PTC,115,983,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-03,weekend,13,BP12,783,559,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-03,weekday,13,BP12,3980,1373,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-03,weekday,14,NS17/CC15,14695,7243,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
2022-03,weekend,14,NS17/CC15,4564,2735,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
2022-03,weekend,16,CC10/DT26,4372,3854,CC10,DT26,,True,,,10.0,,,,,26.0,,,,,,MacPherson
2022-03,weekday,16,CC10/DT26,11180,9978,CC10,DT26,,True,,,10.0,,,,,26.0,,,,,,MacPherson
2022-03,weekend,6,DT28,1377,718,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-03,weekday,6,DT28,9735,6504,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-03,weekend,5,DT7,17,3,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-03,weekday,5,DT7,126,82,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-03,weekend,11,PW5,1086,625,PW5,,,False,,,,,,,,,5.0,,,,,Nibong
2022-03,weekday,11,PW5,1957,1233,PW5,,,False,,,,,,,,,5.0,,,,,Nibong
2022-03,weekday,18,BP3,3592,9650,BP3,,,False,,,,,,3.0,,,,,,,,Keat Hong
2022-03,weekend,18,BP3,1116,1568,BP3,,,False,,,,,,3.0,,,,,,,,Keat Hong
2022-03,weekday,22,CC28,1011,2719,CC28,,,False,,,28.0,,,,,,,,,,,Telok Blangah
2022-03,weekend,22,CC28,419,1020,CC28,,,False,,,28.0,,,,,,,,,,,Telok Blangah
2022-03,weekend,13,SW6,1166,924,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-03,weekday,13,SW6,3393,4223,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-03,weekend,17,NE12/CC13,9699,10841,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-03,weekday,17,NE12/CC13,26583,33940,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-03,weekday,8,NS21/DT11,59974,76252,NS21,DT11,,True,21.0,,,,,,,11.0,,,,,,Newton
2022-03,weekend,8,NS21/DT11,10103,11859,NS21,DT11,,True,21.0,,,,,,,11.0,,,,,,Newton
