period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2021-12,weekend,23,EW9,1432,3074,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,23,EW9,3279,8239,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,8,EW9,5116,6253,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,8,EW9,21869,24133,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,10,EW9,6348,6206,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,10,EW9,12891,9887,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,9,EW9,5909,6091,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,9,EW9,15898,15351,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,20,EW9,11244,18000,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,20,EW9,4865,6425,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,6,EW9,21907,5280,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,6,EW9,4906,1185,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,24,EW9,280,859,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,24,EW9,69,316,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,7,EW9,7293,3888,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,7,EW9,31938,15645,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,12,EW9,7110,5951,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,12,EW9,13250,10089,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,15,EW9,6563,5930,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,15,EW9,12392,11659,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,22,EW9,7687,15930,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,22,EW9,3267,5613,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,5,EW9,4096,649,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,5,EW9,465,28,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,16,EW9,7430,6854,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,16,EW9,13616,13679,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,18,EW9,28996,33731,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,18,EW9,7722,9901,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,17,NS16,47829,67348,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,17,NS16,15062,19193,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,13,NS16,14625,13386,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,13,NS16,38588,35313,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,23,NS16,7772,27091,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,23,NS16,2746,9832,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,6,NS16,46555,21719,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,6,NS16,8659,4277,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,14,NS16,34452,35886,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,14,NS16,13982,13347,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,22,NS16,17194,49248,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,22,NS16,5984,17698,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,19,NS16,11476,16315,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,19,NS16,38139,68063,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,11,NS16,16020,10609,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,11,NS16,38778,26462,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,12,NS16,38395,32102,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,12,NS16,15315,12536,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,10,NS16,16243,10125,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,10,NS16,41997,27638,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,8,NS16,66637,40160,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,8,NS16,12839,9025,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,21,NS16,7617,16922,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,21,NS16,24008,51814,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,20,NS16,8660,16133,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
