postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE
208826,30445.85298,31944.74962,1.305171388,103.8552957,Jalan Besar,Sungei Road,Rochor,Central,DT22,operational,False,False,DT22,,,,,,22,,,,,
339356,31300.767610000003,32884.770919999995,1.313672528,103.8629776,Bendemeer,Kallang Bahru,Kallang,Central,DT23,operational,False,False,DT23,,,,,,23,,,,,
339355,32262.86126,33728.31269,1.321301102,103.8716226,Geylang Bahru,Geylang Bahru,Kallang,Central,DT24,operational,False,False,DT24,,,,,,24,,,,,
379314,33556.583439999995,34344.85853,1.326876715,103.8832475,Mattar,Macpherson,Geylang,Central,DT25,operational,False,False,DT25,,,,,,25,,,,,
378956,34230.010480000004,34264.54353,1.326150245,103.88929859999999,Macpherson,Macpherson,Geylang,Central,DT26/CC10,operational,False,True,DT26,CC10,,10,,,26,,,,,
408899,35334.89183,34687.41099,1.32997426,103.8992267,Ubi,Kampong Ubi,Geylang,Central,DT27,operational,False,False,DT27,,,,,,27,,,,,
415804,36362.378280000004,35239.552260000004,1.33496736,103.9084593,Kaki Bukit,Kaki Bukit,Bedok,East,DT28,operational,False,False,DT28,,,,,,28,,,,,
479481,37421.743819999996,35214.680389999994,1.334742117,103.91797829999999,Bedok North,Kaki Bukit,Bedok,East,DT29,operational,False,False,DT29,,,,,,29,,,,,
678211,20666.06755,38266.78985,1.362344868,103.7674183,Hillview,Nature Reserve,Bukit Panjang,West,DT3,operational,False,False,DT3,,,,,,3,,,,,
469724,39008.313160000005,35421.04087,1.33660783,103.93223459999999,Bedok Reservoir,Bedok Reservoir,Bedok,East,DT30,operational,False,False,DT30,,,,,,30,,,,,
529683,39698.52759,36406.01433,1.345515306,103.938437,Tampines West,Tampines West,Tampines,East,DT31,operational,False,False,DT31,,,,,,31,,,,,
