period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,DT,CE,BP,PW,TE,PE,CG,SE,name
2022-01,weekday,23,EW9,2449,6292,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,23,EW9,1601,3439,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,8,EW9,6327,6953,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,8,EW9,23886,23566,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,10,EW9,12044,9232,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,10,EW9,7265,7446,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,9,EW9,7118,7361,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,9,EW9,15315,14701,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,20,EW9,5816,7797,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,20,EW9,9958,17124,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,6,EW9,5998,1507,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,6,EW9,22470,8725,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,24,EW9,95,283,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,24,EW9,157,609,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,7,EW9,8733,4259,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,7,EW9,33184,23915,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,12,EW9,13223,9885,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,12,EW9,8663,7173,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,15,EW9,13279,10720,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,15,EW9,8120,7394,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,22,EW9,3791,6686,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,22,EW9,6535,13532,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,5,EW9,645,51,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,5,EW9,4059,594,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,16,EW9,8476,8287,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,16,EW9,13046,13142,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,18,EW9,9127,11622,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,18,EW9,27516,32216,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,17,NS16,45460,64606,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,17,NS16,18243,23265,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,13,NS16,18693,17473,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,13,NS16,32616,32007,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,23,NS16,6128,20675,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,23,NS16,3392,10227,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,6,NS16,11095,5426,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,6,NS16,52768,29528,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,14,NS16,34243,34151,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,14,NS16,17366,17240,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,22,NS16,15720,40089,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,22,NS16,7372,19964,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,19,NS16,35261,68090,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,19,NS16,14749,20472,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,11,NS16,18669,13926,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,11,NS16,30695,23128,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,12,NS16,31280,27716,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,12,NS16,18550,15521,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
