period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-02,weekday,22,NS28,510,102,NS28,,,False,28.0,,,,,,,,,,,,,Marina South Pier
2022-02,weekend,24,DT10,8,34,DT10,,,False,,,,,,,,10.0,,,,,,Stevens
2022-02,weekday,24,DT10,11,61,DT10,,,False,,,,,,,,10.0,,,,,,Stevens
2022-02,weekday,10,EW16/NE3,11846,17333,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-02,weekend,10,EW16/NE3,4256,4968,EW16,NE3,,True,,,,16.0,3.0,,,,,,,,,Outram Park
2022-02,weekend,9,CC14,2216,1072,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-02,weekday,9,CC14,4720,3251,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-02,weekday,14,EW27,19847,24736,EW27,,,False,,,,27.0,,,,,,,,,,Boon Lay
2022-02,weekend,14,EW27,15781,15865,EW27,,,False,,,,27.0,,,,,,,,,,Boon Lay
2022-02,weekend,24,NS27/CE2,7,48,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-02,weekday,24,NS27/CE2,14,67,NS27,CE2,,True,27.0,,,,,,2.0,,,,,,,Marina Bay
2022-02,weekday,18,DT27,16343,6795,DT27,,,False,,,,,,,,27.0,,,,,,Ubi
2022-02,weekend,18,DT27,2642,2231,DT27,,,False,,,,,,,,27.0,,,,,,Ubi
2022-02,weekday,24,NS8,321,1564,NS8,,,False,8.0,,,,,,,,,,,,,Marsiling
2022-02,weekend,24,NS8,270,942,NS8,,,False,8.0,,,,,,,,,,,,,Marsiling
2022-02,weekend,18,NS14,9842,11574,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-02,weekday,18,NS14,26071,52823,NS14,,,False,14.0,,,,,,,,,,,,,Khatib
2022-02,weekend,12,EW17,9456,9167,EW17,,,False,,,,17.0,,,,,,,,,,Tiong Bahru
2022-02,weekday,12,EW17,12563,12929,EW17,,,False,,,,17.0,,,,,,,,,,Tiong Bahru
2022-02,weekend,24,NE17/PTC,166,1079,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekday,24,NE17/PTC,202,1492,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-02,weekday,13,BP12,3253,1080,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekend,13,BP12,882,628,BP12,,,False,,,,,,12.0,,,,,,,,Jelapang
2022-02,weekday,14,NS17/CC15,11968,5734,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
2022-02,weekend,14,NS17/CC15,5093,3068,NS17,CC15,,True,17.0,,15.0,,,,,,,,,,,Bishan
