,postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE,svc,bus count,pop,hub,min_dist,nearest_hub,cluster,bus_rank,pop_rank,dist_rank,pop-bus_rank
21,398006,33476.56343,32058.74185,1.306201905,103.8825281,Mountbatten,Aljunied,Geylang,Central,CC7,operational,False,False,CC7,,,7.0,,,,,,,,,"196,30,11,158,14A,158A,12,196A,401,14",10,39990.0,False,4.237082532503504,Raffles Place,1.0,0.2967479674796748,0.8861788617886179,0.4878048780487805,0.5894308943089431
22,397973,34204.0253,32318.174460000002,1.308547984,103.8890647,Dakota,Aljunied,Geylang,Central,CC8,operational,False,False,CC8,,,8.0,,,,,,,,,"32,30,33,33B,10,31,16,401,16M,30e",10,39990.0,False,4.984850373853625,Raffles Place,1.0,0.2967479674796748,0.8861788617886179,0.5772357723577236,0.5894308943089431
23,409049,34559.69169,33280.11819,1.317247385,103.8922608,Paya Lebar,Geylang East,Geylang,Central,CC9/EW8,operational,False,True,CC9,EW8,,9.0,,,,8.0,,,,,"26,155,24,135,154,70,137,2A,76,43,134,853M,67,30,51,13,43e,28,21,70A,70M,40,2,197",24,29920.0,False,5.842508641677273,Raffles Place,2.0,0.7520325203252033,0.7764227642276422,0.6910569105691057,0.024390243902438935
24,257877,27188.22996,33591.66086,1.320065558,103.82602440000001,Stevens,Nassim,Tanglin,Central,DT10/TE11,operational,False,True,DT10,TE11,,,,,10.0,,,,11.0,,"170A,105,190,972A,NR3,960e,NR2,190A,48,960,132,972M,67,972",14,9520.0,False,4.895610882239643,Raffles Place,2.0,0.44715447154471544,0.4878048780487805,0.5691056910569106,0.04065040650406504
25,188505,30164.70185,31798.87668,1.303852185,103.8527694,Rochor,Bencoolen,Rochor,Central,DT13,operational,False,False,DT13,,,,,,13.0,,,,,,"170A,131A,56,851e,166,57,851,23,960e,131,48,960,4N,2N,67,980",16,1310.0,False,2.198307018829163,Raffles Place,2.0,0.5203252032520326,0.2967479674796748,0.23577235772357724,-0.22357723577235777
27,18969,30172.668810000003,29100.208769999997,1.279446382,103.8528408,Downtown,Central Subzone,Downtown Core,Central,DT17,operational,False,False,DT17,,,,,,17.0,,,,,,"130,186,672,97,670,653,850E,651,671,70,131,97e,502,982E,196A,513,666,133,196,656,970,665,655,162,660,502A,167,652,75,100,661,10e,10,196e,951E,667,654,131A,107,57,668,657,106,400,663",45,880.0,False,0.5424231647905721,Raffles Place,2.0,0.943089430894309,0.26422764227642276,0.04878048780487805,-0.6788617886178863
28,48416,29706.12592,29390.195389999997,1.282068948,103.8486488,Telok Ayer,Chinatown,Outram,Central,DT18,operational,False,False,DT18,,,,,,18.0,,,,,,"130,186,850E,70,131,196,656,970,665,868E,162,660,167,652,75,100,10e,10,196e,951E,107,57,663",23,10490.0,False,0.3874037875731798,Raffles Place,2.0,0.7195121951219512,0.5203252032520326,0.04065040650406504,-0.19918699186991862
29,58362,29316.049,29628.478939999997,1.284223919,103.8451438,Chinatown,China Square,Outram,Central,DT19/NE4,operational,False,True,DT19,NE4,,,4.0,,19.0,,,,,,"186,147,124,147A,12,961M,2A,2,961,851,970,63A,33,CT8,166,851e,190,174,51,80,CT18,63,174e,61,145,12e,143,54,197",29,1430.0,False,0.7024270458848155,Raffles Place,2.0,0.8008130081300813,0.3089430894308943,0.056910569105691054,-0.49186991869918695
30,679696,20334.55891,39092.85854,1.369815449,103.7644392,Cashew,Jelebu,Bukit Panjang,West,DT2,operational,False,False,DT2,,,,,,2.0,,,,,,"170A,961,184,176,75,178,970,177,963,961M,67",11,31310.0,False,4.762761325888915,Jurong East,2.0,0.33739837398373984,0.7886178861788617,0.5447154471544715,0.4512195121951219
31,179038,29225.627610000003,30541.60877,1.292481948,103.8443314,Fort Canning,Clarke Quay,Singapore River,Central,DT20,operational,False,False,DT20,,,,,,20.0,,,,,,"NR6,5N,195,139,2N,1N,32,195A,NR5,6N,NR8,64,NR3,NR2,4N,123,NR1,3N,143,54",20,130.0,False,1.2213428367730428,Raffles Place,2.0,0.6219512195121951,0.15853658536585366,0.13008130081300814,-0.46341463414634143
