BusStopCode,RoadName,Description,Latitude,Longitude,svc,len
58059,Sembawang Rd,Opp Blk 592C,1.45079007708143,103.82866296034206,"169A,883B,882,117,117M,883,883M,169",8.0
58061,Sembawang Rd,Aft Durban Rd,1.45296423052616,103.83110625286093,"882,169",2.0
58069,Sembawang Rd,Opp Durban Rd,1.4527138634389098,103.83118398014976,"169A,882,169",3.0
58071,Sembawang Rd,Bef Jln Basong,1.4552842206963799,103.83388976874676,882,1.0
58079,Sembawang Rd,Aft Jln Basong,1.45500446219905,103.83381218856621,882,1.0
58081,Sembawang Rd,Opp Jln Janggus,1.45825194403092,103.83594609403143,882,1.0
58089,Sembawang Rd,Aft Andrews Ave,1.45873255930273,103.83654216993521,882,1.0
58091,Sembawang Rd,Sembawang Pk,1.4621149802109599,103.83791917425908,882,1.0
58099,Sembawang Rd,Opp Sembawang Pk,1.460299,103.837391,882,1.0
58101,Canberra Rd,Blk 311,1.4466727780081101,103.82282277802055,"859,858,856,NR2",4.0
58109,Canberra Rd,Opp Blk 311,1.4466760791668898,103.82309298513005,"858A,859,858,859T,856",5.0
58111,Canberra Rd,Blk 351 CP,1.4509627231002802,103.82075231895969,"981,980,NR2,882,859A,859,859T,882A,856",9.0
58119,Canberra Rd,Blk 502A,1.45099925490468,103.82102323159113,"981,980,859B,882,859,856",6.0
58121,Canberra Rd,Blk 424A CP,1.4532911548673701,103.81929476185202,"981,656,859A,859,859T,856",6.0
58129,Canberra Rd,Blk 508 CP,1.45284216119403,103.8198821920911,"981,859B,656,859,856",5.0
58131,Canberra Rd,Aft Assyafaah Mque,1.4562533329965999,103.82045999997707,"981,856",2.0
58139,Canberra Rd,Bef Assyafaah Mque,1.45637564424183,103.82074569870129,"981,856",2.0
58141,Admiralty Rd West,Sembawang Camp,1.463365158306,103.81653183057892,"169A,856,981,169",4.0
58149,Admiralty Rd West,Opp Sembawang Shipyard G 8,1.46190359169667,103.81788921693169,"981,856,169",3.0
58151,Canberra Rd,Bef Sembawang Stn,1.4483590427440602,103.82201343608213,"980,NR2,167,858,856",5.0
58159,Canberra Rd,Aft Admiral Hill,1.4482170873748201,103.82235611868522,"980,858A,167,858,856",5.0
58161,Admiralty Rd West,Bef Sembawang Shipyard G 3,1.46052755709037,103.82037350350511,"169A,856,981,169",4.0
58169,Admiralty Rd West,Aft HomeTeamNS Sembawang Resort,1.45978696349073,103.82092447388443,"981,856,169",3.0
58171,Admiralty Rd West,Sembawang Corp Industries,1.45890580814381,103.823798831684,"169A,169",2.0
58179,Admiralty Rd West,Opp Sembawang Corp Industries,1.4585564531042798,103.82350997035715,169,1.0
58181,Admiralty Rd West,Sembawang Drug Rehab Ctr,1.4596427502463898,103.82625715308492,"169A,169",2.0
58189,Admiralty Rd West,Opp Sembawang Drug Rehab Ctr,1.45915444426655,103.82601182603963,169,1.0
58191,Admiralty Rd East,Aft Wellington Rd,1.45875202875202,103.82875514072089,"169A,169",2.0
58199,Admiralty Rd East,OPP AUCKLAND ROAD WEST,1.4590501574168,103.82788431875927,169,1.0
58201,Admiralty Rd East,Aft Queen'S Ave,1.4553123491271398,103.8309899667324,"169A,169",2.0
58209,Admiralty Rd East,Aft Pakistan Rd,1.45524083298775,103.83062638903208,169,1.0
58211,Sembawang Way,Sembawang Stn,1.4492620258235902,103.81979401898032,"981,859B,882,859,858,117,117M,883,883M",9.0
58219,Sembawang Way,Opp Sembawang Stn,1.4495346369718602,103.8199297231716,"981,858A,882,859,858,859A,117,117M,883,883M,859T,882A",12.0
58221,Sembawang Way,Blk 339 CP,1.44859264769928,103.81706577986395,858,1.0
58229,Sembawang Way,Blk 358A CP,1.44875084068886,103.81680592100192,"858A,858",2.0
58241,Sembawang Vista,Sembawang Int/Opp Blk 315,1.4472206460149801,103.82018490260376,"859A,859T,859",3.0
58249,Sembawang Vista,Blk 309,1.4471172220228898,103.8211855559986,859,1.0
58251,Sembawang Dr,Sun Plaza/Sembawang Stn,1.44803148822713,103.81895207486828,"981,980,NR2,859B,656,882,859,962,117,117M,883,883M,962B",13.0
58259,Sembawang Dr,Opp Sun Plaza,1.4477726717518702,103.81895151565972,"981,980,656,882,859A,859,962,117,117M,883,883M,962B,859T,882A",14.0
58261,Canberra Link,VISIONAIRE,1.44710213838584,103.82726305553976,169,1.0
58269,Canberra Link,OPP VISIONAIRE,1.44702361616489,103.82761997468876,"169A,169",2.0
58271,Sembawang Cres,Blk 335,1.44702783502401,103.81470654183286,"859A,859T,859,962",4.0
58279,Sembawang Cres,Opp Blk 336A CP,1.44658462255674,103.81456918653721,"859B,859,962",3.0
58281,Sembawang Cres,Sembawang Sec Sch,1.4450136750226,103.81626661338629,"859A,859T,859,962",4.0
58289,Sembawang Cres,Opp Sembawang Sec Sch,1.44485960840447,103.81627162679553,"859B,859,962",3.0
58291,Sembawang Dr,Blk 317,1.4457931998821598,103.81994491730958,"980,NR2,859B,656,859,962",6.0
58299,Sembawang Dr,Blk 328,1.44582915331137,103.81968463382916,"980,656,859A,859,962,859T",6.0
58301,Gambas Ave,3M Bldg,1.4448565059417502,103.81055057568136,"965,NR2,969,965T,965A",5.0
58309,Gambas Ave,Opp 3M Bldg,1.44466063592056,103.81036650514451,"969,965",2.0
58311,Sembawang Dr,Blk 354 CP,1.4501979542693002,103.81810459422104,"980,NR2,656,962,962B",5.0
58319,Sembawang Dr,Blk 357C,1.44976933938251,103.81802192152004,"962B,656,980,962",4.0
58321,Admiralty Dr,Bet Blks 357/359,1.4502057382463798,103.81614518346869,"859A,859T,859",3.0
58329,Admiralty Dr,Blk 474,1.45050186875947,103.81655964918444,"859B,859",2.0
58331,Canberra Link,Blk 589D,1.4497412956052602,103.82397609690102,"167,117,883M,117M,883",5.0
58339,Canberra Link,Opp Blk 589D,1.4493613850581202,103.82430573345593,"167,117,883M,117M,883",5.0
58341,Sembawang Dr,Blk 405,1.4526799293518702,103.81687772159037,"656,859A,859,962,962B,859T",6.0
58349,Sembawang Dr,Blk 478,1.45273139537549,103.81642343207659,"859B,656,859,962,962B",5.0
58351,Sembawang Dr,Blk 483,1.4559354868325098,103.81491062256012,"962B,962",2.0
58359,Sembawang Dr,Opp Blk 484A CP,1.45619440004203,103.81465411421148,"962B,962",2.0
58361,Admiralty St,Nth Link Bldg,1.46118688481447,103.81270708997145,"962B,962",2.0
58369,Admiralty St,BEF ACACIA HME,1.4607745175653601,103.81206144667213,"962B,962",2.0
58371,Sembawang Cres,Bet Blks 325/326,1.4444900958423301,103.8190895319006,"859A,859T,859,962",4.0
58379,Sembawang Cres,Opp Blk 325,1.44428574142951,103.81900511225649,"859B,859,962",3.0
58381,Sembawang Way,Blk 469B,1.44797049342873,103.81337787352543,"858A,858,962",3.0
58389,Sembawang Way,Opp Blk 469B,1.44773992017207,103.8135666814871,"858,962",2.0
58391,Sembawang Ave,Blk 303,1.44426472199698,103.82241222202444,"656,980,NR2",3.0
58399,Sembawang Ave,Opp Blk 303,1.44399912458783,103.822564665947,"656,980",2.0
58401,Admiralty Link,Opp Blk 491,1.45575658287341,103.81800207598671,"859A,656,859T,859",4.0
58409,Admiralty Link,Blk 491,1.4561083849161003,103.81810058815044,"859B,656,859",3.0
58411,Admiralty Link,Blk 404A CP,1.45461200191848,103.81658372927154,"859A,656,859T,859",4.0
58419,Admiralty Link,Blk 482A CP,1.4546446175566,103.81583789207468,"859B,656,859",3.0
58421,Admiralty Dr,Blk 353,1.4513061244853003,103.81902919989244,"980,NR2",2.0
58429,Admiralty Dr,Bet Blks 415/416,1.4515162902632799,103.81892529028816,980,1.0
58439,Champions Way,Opp Blk 567B,1.4285789641936397,103.7883392225817,900A,1.0
58449,Champions Way,S'pore Sports Sch,1.4270920469683999,103.78906720963265,900A,1.0
58451,Sembawang Dr,Aft Heavy Veh Pk,1.4600266030942899,103.8153724152383,"962B,962",2.0
58459,Sembawang Dr,Bef Heavy Veh Pk,1.4599403068776202,103.81514063371952,"962B,962",2.0
58461,Champions Way,Innova Pr Sch,1.42965591818928,103.79044555841314,900A,1.0
58479,Woodlands Dr 17,Aft Innova Pr Sch,1.4283363281994,103.78977121023532,900A,1.0
58481,Wellington Circle,Opp Wellington Pr Sch,1.4530590517682498,103.82267933798677,"882,882A",2.0
58489,Wellington Circle,Wellington Pr Sch,1.4528594661350602,103.82251092163828,882,1.0
58491,Montreal Dr,Opp Blk 507A,1.45272174340224,103.82431343665891,"882,882A",2.0
58499,Montreal Dr,Blk 506A,1.45205869701978,103.82428769521944,882,1.0
58501,Montreal Link,Blk 592A,1.4507187825944001,103.82708492151545,"882,882A",2.0
58509,Montreal Link,Blk 590A,1.4505992711315399,103.82696425665894,882,1.0
58511,Canberra st,Blk 104C,1.44964,103.8315,"117,883M,117M,883",4.0
58519,Canberra st,OPP BLK 104B,1.44973306,103.831062,"883B,117,883M,117M,883",5.0
