,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name,totalTapIn,totalTapOut,Cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,hub,min_dist,nearest_hub,bus_rank,pop_rank,dist_rank,pop-bus_rank,code1
4480,NS27/CE2,NS27,CE2,,TRUE,27,,,,,,2,,,,,,,Marina Bay,37991.25,37948.25,1,18925,30367.95472,28764.49593,1.276410299,103.8545955,Central Subzone,Downtown Core,Central,operational,FALSE,TRUE,"672,97,670,653,651,671,502,97e,982E,666,513,133,655,502A,661,654,667,668,657,106,400",21,880,FALSE,0.925939481,Raffles Place,0.650406504,0.264227642,0.073170732,-0.386178862,
4520,NS28,NS28,,,FALSE,28,,,,,,,,,,,,,Marina South Pier,21891,22013,2,18948,31241.82601,28169.25109,1.271027036,103.8624475,Straits View,Straits View,Central,operational,FALSE,FALSE,400,1,0,,,,,,,,
4560,NS3,NS3,,,FALSE,3,,,,,,,,,,,,,Bukit Gombak,307691.25,297167.5,0,659083,18926.9127,37854.03588,1.358611591,103.7517909,Guilin,Bukit Batok,West,operational,FALSE,FALSE,"945,NR8,3N,991C,991",5,12940,FALSE,3.021632482,Jurong East,0.12195122,0.585365854,0.341463415,0.463414634,
4600,NS4/BP1,NS4,BP1,,TRUE,4,,,,,1,,,,,,,,Choa Chu Kang,555650.5,604776.5,0,689810,18101.2472,40812.12161,1.385363165,103.7443708,Choa Chu Kang Central,Choa Chu Kang,West,operational,TRUE,FALSE,"975A,974A,190A,927,991,188R,925,974,985,302,300,188,67,983,190,188e,NR3,307A,301,307,975B,172,975C,991B,3N,307T,983A,975,976",29,22530,FALSE,5.810148511,Jurong East,0.800813008,0.658536585,0.682926829,-0.142276423,
4640,NS5,NS5,,,FALSE,5,,,,,,,,,,,,,Yew Tee,467981.5,444611,0,689715,18438.98312,42158.0181,1.397535069,103.7474052,Yew Tee,Choa Chu Kang,West,operational,FALSE,FALSE,"302A,NR3,307A,3N,302,307,979",7,40390,FALSE,6.216935059,Woodlands,0.18699187,0.902439024,0.764227642,0.715447154,
4680,NS7,NS7,,,FALSE,7,,,,,,,,,,,,,Kranji,91261.25,102714.5,1,738702,20078.58651,45204.51685,1.425086981,103.7621375,Turf Club,Sungei Kadut,North,operational,FALSE,FALSE,"170A,925A,178A,925,961,160,925M,178,960,961M",10,670,FALSE,3.116726575,Woodlands,0.296747967,0.231707317,0.365853659,-0.06504065,
4720,NS8,NS8,,,FALSE,8,,,,,,,,,,,,,Marsiling,333970.25,274719,0,739044,21407.04132,46026.51253,1.432521149,103.7740746,Woodlands West,Woodlands,North,operational,FALSE,FALSE,"913T,950,913M,926,963,961M,913,856,925,961,160,966A,912B,178,963R,187,963e,925M,912,960,925A,960e,966",23,33910,FALSE,1.590523693,Woodlands,0.719512195,0.804878049,0.195121951,0.085365854,
4760,NS9/TE2,NS9,TE2,,TRUE,9,,,,,,,,,2,,,,Woodlands,680750,789220.5,0,737736,22949.91913,46417.52233,1.436057617,103.7879388,Woodlands Regional Centre,Woodlands,North,operational,TRUE,TRUE,"858,161,169B,902,965A,913T,913M,950,926,963,961M,858A,903,856,913,962,925,961,966A,912B,178,665,904,903M,912M,969,963R,178A,187,912,963e,925M,964,901M,960,965,901,965T,900A,911,169A,925A,168,960e,169,900,966,912A,911T",49,10,TRUE,0,Woodlands,0.971544715,0.032520325,0.020325203,-0.93902439,
4800,TE1,TE1,,,FALSE,,,,,,,,,,1,,,,Woodlands North,61162.5,51863.75,1,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
5080,TE3,TE3,,,FALSE,,,,,,,,,,3,,,,Woodlands South,84880.91667,75543.58333,0,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
5353,TE4,TE4,,,FALSE,,,,,,,,,,4,,,,Springleaf,33545.5,31873.58333,2,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
5633,TE5,TE5,,,FALSE,,,,,,,,,,5,,,,Lentor,23002,25352,0,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
5913,TE6,TE6,,,FALSE,,,,,,,,,,6,,,,Mayflower,72446.08333,69023.66667,0,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
6193,TE7,TE7,,,FALSE,,,,,,,,,,7,,,,Bright Hill,45470,45446,2,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
6466,TE8,TE8,,,FALSE,,,,,,,,,,8,,,,Upper Thomson,61482.25,57785.25,2,737668,22699.99124,47770.39457,1.448292453,103.7856927,Greenwood Park,Woodlands,North,operational,FALSE,FALSE,856,1,40,FALSE,1.383172735,Woodlands,0.016260163,0.109756098,0.138211382,0.093495935,
4,,CC18,,,,,,18,,,,,,,,,,,Bukit Brown,,,,299176,27707.41657,35102.48027,1.333728883,103.8306895,Mount Pleasant,Novena,Central,future,FALSE,FALSE,,0,690,,,,,,,,CC18
16,,CC30,,,,,,30,,,,,,,,,,,Keppel,,,,99423,27634.16874,28030.47992,1.269772201,103.8300315,City Terminals,Bukit Merah,Central,future,FALSE,FALSE,"NR6,145,30,57,97,NR1,100,80,10,131",10,20,,,,,,,,CC30
17,,CC31,,,,,,31,,,,,,,,,,,Cantonment,,,,89395,28416.64846,28373.25579,1.272872146,103.8370623,Everton Park,Bukit Merah,Central,future,FALSE,FALSE,"145,30,57,97,100,80,10,131,97e",9,7810,,,,,,,,CC31
18,,CC32,,,,,,32,,,,,,,,,,,Prince Edward Road,,,,79122,29533.44444,28404.75026,1.273156936,103.8470971,Central Subzone,Downtown Core,Central,future,FALSE,FALSE,"130,186,672,670,653,850E,651,671,70,666,196A,513,133,196,656,970,655,665,162,660,167,652,75,661,654,951E,196e,667,107,668,657,106,400,663",34,880,,,,,,,,CC32
47,,DT36,,,,,,,,,,,36,,,,,,Xilin,,,,486800,42643.96238,34569.6853,1.328906949,103.9649026,Xilin,Tampines,East,future,FALSE,FALSE,"35M,35",2,1760,,,,,,,,DT36
73,,NE18,,,,,,,,18,,,,,,,,,Punggol Coast,,,,828604,36552.07067,44081.13346,1.414927334,103.9101664,Northshore,Punggol,North-East,future,FALSE,FALSE,,0,460,,,,,,,,NE18
94,,TE10,,,,,,,,,,,,,10,,,,Mount Pleasant,,,,299781,28208.11219,34531.43523,1.328564555,103.8351886,Mount Pleasant,Novena,Central,future,FALSE,FALSE,,0,690,,,,,,,,TE10
95,,TE12,,,,,,,,,,,,,12,,,,Napier,,,,258511,26402.80266,32122.95592,1.306783078,103.818967,Nassim,Tanglin,Central,future,FALSE,FALSE,"7,123,105,174,106,NR8,75,7B,77,174e",10,9520,,,,,,,,TE12
96,,TE13,,,,,,,,,,,,,13,,,,Orchard Boulevard,,,,248654,26948.29454,31640.75525,1.302422248,103.8238685,One Tree Hill,River Valley,Central,future,FALSE,FALSE,"111,7,105,174,123,106,NR8,75,77,132,174e",11,2070,,,,,,,,TE13
98,,TE15,,,,,,,,,,,,,15,,,,Great World,,,,238384,28044.76787,30703.73245,1.293948162,103.8337208,Institution Hill,River Valley,Central,future,FALSE,FALSE,"5,195,75,175,970,195A,NR5,16,16M",9,3150,,,,,,,,TE15
99,,TE16,,,,,,,,,,,,,16,,,,Havelock,,,,168604,28029.74366,30101.88222,1.28850524,103.8335858,Bukit Ho Swee,Bukit Merah,Central,future,FALSE,FALSE,"5,186,123,6N,195,5N,51,75,64,121,175,970,3N,16,4N,2N,16M,1N",18,14390,,,,,,,,TE16
100,,TE18,,,,,,,,,,,,,18,,,,Maxwell,,,,58841,29175.80884,29220.38855,1.280533298,103.8438837,Chinatown,Outram,Central,future,FALSE,FALSE,"145,197,80,166,61",5,10490,,,,,,,,TE18
101,,TE19,,,,,,,,,,,,,19,,,,Shenton Way,,,,18928,29897.41915,28908.96172,1.277716828,103.8503676,Central Subzone,Downtown Core,Central,future,FALSE,FALSE,"130,186,672,97,670,653,850E,651,671,70,502,131,97e,982E,666,196A,513,133,196,656,970,655,665,162,660,167,652,75,100,661,10e,10,654,951E,667,196e,131A,107,57,668,657,106,400,663",44,880,,,,,,,,TE19
102,,TE21,,,,,,,,,,,,,21,,,,Marina South,,,,19397,31367.22626,28559.32995,1.274554759,103.8635743,Straits View,Straits View,Central,future,FALSE,FALSE,,0,,,,,,,,,TE21
103,,TE22,,,,,,,,,,,,,22,,,,Gardens By The Bay,,,,19396,31799.07218,28994.17088,1.278487259,103.8674547,Marina South,Marina South,Central,future,FALSE,FALSE,400,1,,,,,,,,,TE22
104,,TE23,,,,,,,,,,,,,23,,,,Tanjong Rhu,,,,436488,32466.63453,31070.53549,1.297265079,103.8734533,Tanjong Rhu,Kallang,Central,future,FALSE,FALSE,"11,158,158A",3,11110,,,,,,,,TE23
105,,TE24,,,,,,,,,,,,,24,,,,Katong Park,,,,437870,33882.89095,31133.19094,1.297831478,103.8861789,Mountbatten,Marine Parade,Central,future,FALSE,FALSE,"30,158,158A,401,30e",5,9980,,,,,,,,TE24
106,,TE25,,,,,,,,,,,,,25,,,,Tanjong Katong,,,,439846,35128.21199,31297.73082,1.299319257,103.8973687,Mountbatten,Marine Parade,Central,future,FALSE,FALSE,"48,36A,36B,36",4,9980,,,,,,,,TE25
107,,TE26,,,,,,,,,,,,,26,,,,Marine Parade,,,,449971,35975.61075,31661.80799,1.302611635,103.9049831,Marine Parade,Marine Parade,Central,future,FALSE,FALSE,"135,196A,401,196,43,15,966A,134,31,48,853M,36,47,43e,196e,36B,36A,197,966",19,26880,,,,,,,,TE26
108,,TE27,,,,,,,,,,,,,27,,,,Marine Terrace,,,,449970,37102.26344,32110.05443,1.306665103,103.9151067,Marine Parade,Marine Parade,Central,future,FALSE,FALSE,"150,196A,196,43,16,134,31,48,853M,36,16M,47,13,196e,4N,55,36B,36A,197",19,26880,,,,,,,,TE27
109,,TE28,,,,,,,,,,,,,28,,,,Siglap,,,,449969,38762.61178,32479.8152,1.310008551,103.9300258,Frankel,Bedok,East,future,FALSE,FALSE,"196,155,43,197,47,36,36B,196A,31,196e,48,853M,36A,4N,55,401",16,34490,,,,,,,,TE28
110,,TE29,,,,,,,,,,,,,29,,,,Bayshore,,,,469958,40129.48783,32824.19446,1.313122483,103.942308,Bayshore,Bedok,East,future,FALSE,FALSE,,0,7450,,,,,,,,TE29
112,,TE30,,,,,,,,,,,,,30,,,,Bedok South,,,,468324,40908.86292,33218.0453,1.316684007,103.9493112,Bayshore,Bedok,East,future,FALSE,FALSE,"43,229,25,46,13,10e,14A,10,137,853M,55,14",12,7450,,,,,,,,TE30
113,,TE31 / DT37,DT37,,,,,,,,,,37,,31,,,,Sungei Bedok,,,,469731,41784.9899,33629.14833,1.320401487,103.9571838,Bayshore,Bedok,East,future,FALSE,TRUE,"10e,14A,10,45,14",5,7450,,,,,,,,TE31
