,name,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,totalTapIn,totalTapOut,cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,geometry,groceryCount,mallCount,adj_stations,dist_to_nearest_station,hub,min_dist_to_hub,nearest_hub,bus_rank,pop_rank,hub_dist_rank,adj_count_rank,dist_to_neighbour_rank,pop-bus_rank,bizCount
10,Holland Village,CC21,CC21,,,False,,,21.0,,,,,,,,,,,106599.75,113445.75,2.0,278995,23891.21523,32726.41283,1.312240296,103.7963991,Leedon Park,Bukit Timah,Central,operational,False,False,"7,5N,106,75,NR8,165,970,7B,95,48,77,61",12,6440.0,POINT (1.312240296 103.7963991),27,2,6.0,0.8819855303923569,False,6.449275377687267,Jurong East,0.4228187919463087,0.436241610738255,0.825503355704698,0.6610738255033557,0.3724832214765101,0.013422818791946291,632
11,Buona Vista,CC22/EW21,CC22,EW21,,True,,,22.0,21.0,,,,,,,,,,305493.5,279576.75,2.0,139345,23207.2578,32171.7151,1.307223708,103.7902535,One North,Queenstown,Central,operational,True,True,"92B,147,95B,196,111,105,92M,198,NR5,185,200A,NR8,100,74,200,191,92,91,106,95,92A,14",22,720.0,POINT (1.307223708 103.7902535),25,4,5.0,0.8819855303923569,False,6.061857010763537,Jurong East,0.7214765100671141,0.2583892617449665,0.7449664429530202,0.5838926174496645,0.3724832214765101,-0.4630872483221477,615
12,one-north,CC23,CC23,,,False,,,23.0,,,,,,,,,,,132341.25,128568.75,1.0,138647,22896.07281,31346.4081,1.299759875,103.7874575,One North,Queenstown,Central,operational,False,False,"191,91",2,720.0,POINT (1.299759875 103.7874575),27,6,5.0,0.7630076251909015,False,6.24520518367289,Jurong East,0.08053691275167785,0.2583892617449665,0.785234899328859,0.5838926174496645,0.2651006711409396,0.1778523489932886,696
13,Kent Ridge,CC24,CC24,,,False,,,24.0,,,,,,,,,,,239850.5,230404.0,1.0,118177,22575.01071,30657.93329,1.293533499,103.7845727,National University Of S'Pore,Queenstown,Central,operational,False,False,"166,92,92B,33A,97,200A,963e,200,92A,95,95B,963,33,197,14",15,240.0,POINT (1.293533499 103.7845727),20,6,4.0,0.7630076251909015,False,6.4424871029573065,Jurong East,0.5302013422818792,0.18456375838926176,0.8187919463087249,0.4697986577181208,0.2651006711409396,-0.34563758389261745,713
14,Haw Par Villa,CC25,CC25,,,False,,,25.0,,,,,,,,,,,91745.25,85259.75,2.0,117396,22261.1431,29445.80204,1.282571358,103.7817527,Pasir Panjang 1,Queenstown,Central,operational,False,False,"30,200A,51,176,175,200,10,143,188,30e",10,4510.0,POINT (1.282571358 103.7817527),6,3,2.0,1.2586014049473255,False,7.133194912025372,Jurong East,0.34899328859060397,0.4161073825503356,0.8859060402684564,0.2046979865771812,0.785234899328859,0.06711409395973156,470
15,Pasir Panjang,CC26,CC26,,,False,,,26.0,,,,,,,,,,,71427.0,75581.25,1.0,117424,23329.26471,28742.76576,1.276213522,103.7913503,Port,Queenstown,Central,operational,False,False,"30,51,176,188e,175,10,143,188,30e",9,120.0,POINT (1.276213522 103.7913503),9,4,2.0,1.2799018254899566,False,6.740080252255567,Raffles Place,0.2953020134228188,0.15436241610738255,0.8657718120805369,0.2046979865771812,0.8053691275167785,-0.14093959731543626,637
16,Labrador Park,CC27,CC27,,,False,,,27.0,,,,,,,,,,,49590.25,51106.25,1.0,109029,24584.77505,28304.9441,1.272254177,103.8026316,Maritime Square,Bukit Merah,Central,operational,False,False,"166,93,30,57,97,963,51,176,100,175,10,120,143,188,30e,61",16,3620.0,POINT (1.272254177 103.8026316),14,6,2.0,0.8110924430116517,False,5.586505633171773,Raffles Place,0.5671140939597316,0.38926174496644295,0.6778523489932886,0.2046979865771812,0.3187919463087248,-0.1778523489932886,899
17,Telok Blangah,CC28,CC28,,,False,,,28.0,,,,,,,,,,,54512.5,53591.0,0.0,109028,25378.2908,28133.79905,1.270706477,103.8097616,Maritime Square,Bukit Merah,Central,operational,False,False,"143,93,166,30,57,61,97,963,176,100,124,10,120,97e,188R,188,963R",17,3620.0,POINT (1.270706477 103.8097616),16,7,2.0,0.8110924430116517,False,4.869915390070611,Raffles Place,0.5939597315436241,0.38926174496644295,0.5771812080536913,0.2046979865771812,0.3187919463087248,-0.2046979865771812,952
18,Esplanade,CC3,CC3,,,False,,,3.0,,,,,,,,,,,76862.0,67622.0,2.0,189562,30421.99348,30671.62777,1.293657725,103.8550812,City Hall,Downtown Core,Central,operational,False,False,"130,850E,162M,107M,70,502,131,961M,196A,133,196,111,56,656,961,665,162,660,36,16M,857,502A,167,652,100,10e,518,10,196e,951E,77,960,14e,131A,107,57,857B,106,36B,960e,16,518A,663,14",44,80.0,POINT (1.293657725 103.8550812),50,42,20.0,0.2887792829093708,False,1.13372685242048,Raffles Place,0.9429530201342282,0.13758389261744966,0.11409395973154365,0.9865771812080536,0.02348993288590604,-0.8053691275167786,8930
19,Promenade,CC4/DT15,CC4,DT15,,True,,,4.0,,,,,15.0,,,,,,170624.25,179801.5,2.0,39193,31008.36188,30709.257810000006,1.293997986,103.86035,Marina Centre,Downtown Core,Central,operational,True,True,"97,162M,107M,502,97e,133,111,868E,36,857,502A,518,857B,70A,106,70M,36B,36A,518A",19,10.0,POINT (1.293997986 103.86035),40,35,18.0,0.5869352100134595,False,1.4769503642747916,Raffles Place,0.6409395973154363,0.053691275167785234,0.16778523489932887,0.9429530201342282,0.1342281879194631,-0.587248322147651,8452
